Scenario,ATP,NADH,Fdred,Sulfate,CO2,HCO3-,HCO2-,N2,Target Molecule,Target,
Acetic_3HP,-3.999999874333425,-4.999999869682326,0.0,0,0.9999999795177839,-2.999999924600055,0,0,Acetate,1.0
Acetic_3HP4HB,-3.999999874333425,-3.999999894815641,0,0,0.9999999795177839,-2.999999924600055,0,0,Acetate,1.0
Acetic_4HB,-2.0,-1.0,-6.0,0,-1.0,-1.0,0,0,Acetate,1.0
Acetic_CBB,-6.0,-4.0,0.0,0,-2.0,0.0,0,0,Acetate,1.0
Acetic_FORM,-2.999999136711561,-1.000000428172571,0.0,0,1.000001176963086,0.0,-3.0000024077034855,0,Acetate,1.0
Acetic_RTCA,-0.9999999642372093,-3.9999999284744185,2.5331976954312592e-08,0,-1.9999999515712208,0.0,0,0,Acetate,1.0
Acetic_WL,1.7881395377431892e-08,-3.9999999284744185,2.5331976954312592e-08,0,-1.9999999515712208,0.0,0,0,Acetate,1.0
Citric_3HP,-9.99999995398518,-10.999999957627455,0.0,0,-1.9573010328166388e-08,-5.999999972391107,0.0,0,Citrate,1.0
Citric_3HP4HB,-9.99999995398518,-8.999999966830423,0.0,0,-1.9573010328166388e-08,-5.999999972391107,0.0,0,Citrate,1.0
Citric_4HB,-5.9999999927399585,-2.9999999828796047,-11.999999985479917,0,-3.9999999754411224,-1.9999999975799863,0.0,0,Citrate,1.0
Citric_CBB,-14.0,-9.0,0.0,0,-6.0,0.0,0.0,0,Citrate,1.0
Citric_FORM,-7.999999899835489,-2.9999999776501296,0.0,0,-3.8908623884986995e-08,0.0,-5.999999923013673,0,Citrate,1.0
Citric_RTCA,-4.0,-8.0,-2.0,0,-6.0,0.0,0.0,0,Citrate,1.0
Citric_WL,-2.0,-8.0,-2.0,0,-6.0,0.0,0.0,0,Citrate,1.0
DKG_3HP,-16.003023383438485,-12.002571640524073,0.0,0,2.000356704367647,-8.001887092257231,0.0,0,2,5-DKG,1.0
DKG_3HP4HB,-16.008418683526568,-10.006010322998613,0.0,0,2.001118249629525,-8.004014638636326,0.0,0,2,5-DKG,1.0
DKG_4HB,-11.998938219473036,-1.999533768938247,-15.999738939396666,0,-2.000156960628806,-3.9998031870772857,0.0,0,2,5-DKG,1.0
DKG_CBB,-20.001873252808494,-10.001033946366519,0.0,0,-4.000354829726672,-2.0001852563272133,0,0,2,5-DKG,1.0
DKG_FORM,-13.993182448545005,-3.997380985202852,0.0,0,1.999065769645802,-1.9989812856012386,-5.996670035057532,0,2,5-DKG,1.0
DKG_RTCA,-9.999998945450058,-7.999999119762208,-3.9999995631678757,0,-3.9999995387002705,-1.9999997588132312,0,0,2,5-DKG,1.0
DKG_WL,-7.999999164422086,-7.999999119762208,-3.9999995631678757,0,-3.9999995387002705,-1.9999997588132312,0,0,2,5-DKG,1.0
Gluconate_3HP,-16.000001130187545,-13.000000896118813,0.0,0,2.0000001360492323,-8.000000525013618,0.0,0,D-Gluconate,1.0
Gluconate_3HP4HB,-16.000003495131736,-11.000002547888013,0.0,0,2.0000004445451167,-8.00000176485222,0.0,0,D-Gluconate,1.0
Gluconate_4HB,-12.0014592515538,-5.0007495932470265,-12.001645551888204,0,-2.0003403914526405,-4.000504478282782,0.0,0,D-Gluconate,1.0
Gluconate_CBB,-19.99681178417247,-10.998270653207161,0.0,0,-3.9995129778267535,-1.999575901295522,0.0,0,D-Gluconate,1.0
Gluconate_FORM,-12.00000015333429,-5.000000088153715,0,0,0,0,-6.000000070768762,0,D-Gluconate,1.0
Gluconate_RTCA,-9.998292173211965,-8.998884764495427,-3.998853430029935,0,-3.998724674192773,-1.9993847766138684,0.0,0,D-Gluconate,1.0
Gluconate_WL,-7.998815142189575,-8.998884764495427,-3.998853430029935,0,-3.998724674192773,-1.9993847766138684,0.0,0,D-Gluconate,1.0
